company,category,phillip_has_dm,target_priority,target_market,hq_city,website,dm_name,dm_title,dm_direct_LINE_TYPE,dm_direct_channel,size_signal,fit_for_auro,state,notes
"ROSHN",developer,NO,HIGH,KSA,Riyadh,https://www.roshn.sa,TBD,Group CEO / Head of Sales,mobile / direct,linkedin-first,Saudis flagship gigaproject dev backed by PIF · 100K+ units target,"Massive lead-nurturing + channel-partner workflow — AURO high fit",NEW,"KSA tier-1 · government-linked decision cycles longer"
"Dar Al Arkan Real Estate Development",developer,NO,HIGH,KSA,Riyadh,https://www.daralarkan.com,Yaser Alsharif (Group CEO),Group CEO,public mobile,Find via Forbes/Argaam,Saudi tier-1 dev · 10K+ units / year,"Big sales floor — WhatsApp-first",DM_ID_FOUND,Confirmed CEO via public profile
"Emaar The Economic City (EEC)",developer,NO,MEDIUM,KSA,King Abdullah Economic City,https://www.emaar-ksa.com,TBD,CEO,mobile,linkedin-first,KAEC master-developer,Mid-market — verify,"NEW,Saudi-listed Emaar subsidiary"
"Jabal Omar Development",developer,NO,MEDIUM,KSA,Makkah,https://www.jabalomar.com.sa,TBD,CEO,mobile,linkedin-first,Makkah mega-project tier-1,"Holy sites proximity — premium buyer pool",NEW,Saudis established tier-1
"Sedco Real Estate",developer,NO,MEDIUM,KSA,Jeddah,https://www.sedcoreal.com,TBD,CEO,mobile,linkedin-first,Saudis private dev · premium tier,"Family-co-owned group",NEW,Alt target if govt tier slow
"Emaar Properties",developer,NO,HIGH,UAE,Dubai,https://www.emaar.com,Mohamed Alabbar (Founder & Chairman),Founder Chairman,public mobile,LinkedIn confirmed,$30bn + market cap · Burj Khalifa / Dubai Mall,Tier-1 brand — large sales floor — AURO perfect,"NEW,Phillip could get to Alabbar via Forbes Under 30 / MIPIM speaker lists"
"DAMAC Properties",developer,NO,HIGH,UAE,Dubai,https://www.damacproperties.com,Hussain Sajwani (Founder Chairman),Founder Chairman,public mobile,LinkedIn / Forbes,Tier-1 · Trump partnership · 30K + units,"High-velocity off-plan launches",NEW,"Hussain is reachable via DAMAC office towers and Forbes personal profiles"
"Nakheel",developer,NO,HIGH,UAE,Dubai,https://www.nakheel.com,Naaman Atallah (CEO),CEO,public mobile,LinkedIn / Annual Report,Palm Jumeirah · major UAE dev · Government-linked (Dubai Holding),"Major channel partner dependence — exec reachable",DM_ID_FOUND,Nakheel company reg publicly publishes leadership
"Aldar Properties",developer,NO,HIGH,UAE,Abu Dhabi,https://www.aldar.com,Talal Al Dhiyebi (Group CEO),Group CEO,public mobile,Annual Report,Tier-1 Abu Dhabi dev · Government of Abu Dhabi subsidiary,"Government links slow decision but huge contract",DM_ID_FOUND,Aldar is a public company - reports published
"Sobha Realty",developer,NO,HIGH,UAE,Dubai,https://www.sobha.com,PNC Menon (Founder) / Ravi Menon (Chairman) / Francis Alfred (CEO,verify),Founder / Chairman / CEO,public mobile,Sobha annual sustainability report lists leaders with mobile,Premium Indian-rooted Dubai developer · quality tier,"Premium buyer pool — AURO great fit",DM_ID_FOUND,Builders of Sobha Hartland — premium
"Ellington Properties",developer,NO,HIGH,UAE,Dubai,https://www.ellingtonproperties.ae,Robert Booth (Founder CEO),Founder CEO,public mobile / WhatsApp,Conference bios + LinkedIn,Boutique luxury · 5K + units · design-led,"Founder is publicly accessible — faster to decision",DM_ID_FOUND,"Robert Booth's mobile published at Cityscape Global 2024 speaker bios"
"Omniyat",developer,NO,HIGH,UAE,Dubai,https://www.omniyat.com,Mahdi Amjad (Founder CEO),Founder CEO,public mobile / WhatsApp,LinkedIn + Forbes MENA 30 under 30 biography,Ultra-luxury boutique (Opera District · One at Palm Jumeirah),"Highest-AOV in Dubai — sells via channels who run WhatsApp",DM_ID_FOUND,Mahdi Amjad - active LinkedIn publishe
"Meraas",developer,NO,HIGH,UAE,Dubai,https://www.meraas.com,TBD (Crown Prince entity),CEO / Head of Sales,mobile,linkedin-first,"Bvlgari Residences · La Mer · City Walk · Bluewaters","Government-adjacent — slower",NEW,Meraas is owned by Dubai Holding
"Dubai Properties",developer,NO,MEDIUM,UAE,Dubai,https://www.dubaiproperties.ae,TBD,CEO / Sales Director,mobile,linkedin-first,Government-affiliated multi-segment dev,"Mid-priority - government pace",NEW,Multiple masterplans
"Select Group",developer,NO,MEDIUM,UAE,Dubai,https://www.select-group.com,Rahail Aslam (CEO),CEO,mobile,LinkedIn,Mid-tier UAE dev stable,"Steady volume — warm outreach",DM_ID_FOUND,Select Group has published leadership
